ID,mID
1,118
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,76
2,118
2,61
2,62
2,63
2,64
2,65
2,66
2,67
2,68
2,69
2,70
2,71
2,72
2,73
2,74
2,75
2,76
2,112
4,127
6,47
6,48
6,49
6,78
6,50
6,81
6,118
6,51
6,53
6,54
8,49
8,118
8,101
8,17
8,54
8,125
8,126
10,73
10,118
10,17
10,126
11,47
11,48
11,49
11,50
11,51
11,52
11,53
11,54
11,9
11,73
11,11
11,81
11,118
11,14
11,15
12,73
13,47
13,93
13,83
13,19
13,78
13,50
13,82
13,79
13,95
13,101
13,17
13,53
13,20
14,118
14,61
14,62
14,63
14,64
14,65
14,66
14,67
14,68
14,69
14,70
14,71
14,72
14,73
14,74
14,75
14,76
16,73
16,118
16,17
16,126
17,73
17,118
17,17
17,126
18,47
18,73
18,75
18,118
18,51
18,54
18,65
18,66
18,67
18,69
18,70
18,63
18,64
18,72
19,127
20,47
20,48
20,49
20,50
20,51
20,52
20,53
20,54
20,131
20,132
20,133
20,134
20,135
20,136
20,137
20,138
21,58
21,112
21,118
22,47
22,48
22,49
22,50
22,51
22,52
22,53
22,54
22,9
22,73
22,11
22,81
22,118
22,14
22,15
22,55
22,139
22,140
25,47
25,48
25,49
25,50
25,51
25,52
25,53
25,54
25,118
25,61
25,62
25,63
25,64
25,65
25,66
25,67
25,68
25,69
25,70
25,71
25,72
25,127
26,127
27,118
27,61
27,62
27,63
27,64
27,65
27,66
27,67
27,68
27,69
27,70
27,71
27,72
27,73
27,74
27,75
27,76
29,73
29,76
29,118
29,125
29,126
28,118
28,61
28,62
28,63
28,64
28,65
28,66
28,67
28,68
28,69
28,70
28,71
28,72
28,73
28,74
28,75
28,76
30,47
30,48
30,49
30,50
30,51
30,52
30,53
30,54
30,118
30,73
30,74
30,75
30,76
30,55
30,139
30,140
30,9
30,11
30,81
30,14
30,15
30,141
30,142
31,47
31,48
31,49
31,50
31,51
31,52
31,53
31,54
31,118
31,61
31,62
31,63
31,64
31,65
31,66
31,67
31,68
31,69
31,70
31,71
31,72
31,73
31,74
31,75
31,76
32,118
32,61
32,62
32,63
32,64
32,65
32,66
32,67
32,68
32,69
32,70
32,71
32,72
32,73
32,74
32,75
32,76
33,47
33,48
33,49
33,50
33,51
33,52
33,53
33,54
33,101
33,17
33,128
33,125
33,126
36,118
36,73
36,74
36,75
36,76
36,143
36,144
36,145
36,146
36,147
36,148
36,149
36,150
36,151
36,152
36,153
36,154
36,155
36,156
40,47
40,48
40,49
40,50
40,51
40,52
40,53
40,54
40,118
42,47
42,49
42,118
42,17
42,54
44,61
44,62
44,63
44,64
44,65
44,66
44,67
44,68
44,69
44,70
44,71
44,72
44,73
44,76
44,118
45,55
45,9
45,140
45,47
45,141
45,142
45,73
45,11
45,48
45,139
45,49
45,81
45,118
45,14
45,15
45,51
45,53
45,54
46,129
47,129
48,61
48,62
48,63
48,64
48,65
48,66
48,67
48,68
48,69
48,70
48,71
48,72
48,73
48,75
48,76
48,118
49,61
49,62
49,63
49,64
49,65
49,66
49,67
49,68
49,69
49,70
49,71
49,72
49,73
49,75
49,76
49,118
50,8
50,9
50,10
50,11
50,12
50,13
50,14
50,15
50,16
50,17
50,18
50,47
50,48
50,49
50,50
50,51
50,52
50,53
50,54
50,118
50,77
50,78
50,79
50,141
50,142
50,55
50,73
50,139
51,129
52,118
52,61
52,62
52,63
52,64
52,65
52,66
52,67
52,68
52,69
52,70
52,71
52,72
52,73
52,75
52,76
53,47
53,48
53,49
53,50
53,51
53,52
53,53
53,54
53,141
53,142
53,158
53,159
53,160
53,161
53,55
53,9
53,140
53,73
53,11
53,139
53,81
53,118
53,14
53,15
54,73
54,48
54,49
54,118
54,17
54,107
54,54
55,47
55,48
55,49
55,50
55,51
55,52
55,53
55,54
55,61
55,62
55,63
55,64
55,65
55,66
55,67
55,68
55,69
55,70
55,71
55,72
55,73
55,75
55,76
55,118
55,101
55,17
55,105
55,157
55,125
55,126
56,47
56,48
56,49
56,50
56,51
56,52
56,53
56,54
56,55
56,9
56,140
56,141
56,142
56,73
56,11
56,139
56,81
56,118
56,14
56,15
56,157
57,47
57,139
57,49
57,14
57,116
57,53
57,54
57,125
57,126
58,61
58,62
58,63
58,64
58,65
58,66
58,67
58,68
58,69
58,70
58,71
58,72
58,73
58,74
58,75
58,76
58,143
58,144
58,145
58,146
58,147
58,148
58,55
58,9
58,140
58,47
58,141
58,48
58,76
58,139
58,49
58,81
58,118
58,14
58,15
58,51
58,157
58,53
58,54
59,61
59,62
59,63
59,64
59,65
59,66
59,67
59,68
59,69
59,70
59,71
59,72
59,73
59,74
59,75
59,76
59,143
59,144
59,145
59,146
59,147
59,148
60,73
60,76
60,118
61,129
64,47
64,48
64,49
64,50
64,51
64,52
64,53
64,54
64,55
64,9
64,140
64,141
64,142
64,73
64,11
64,139
64,81
64,118
64,14
64,15
64,157
66,129
67,47
67,48
67,49
67,50
67,51
67,52
67,53
67,54
67,141
67,142
67,55
67,139
67,140
67,9
67,73
67,11
67,81
67,118
67,14
67,15
67,157
69,47
69,48
69,49
69,50
69,51
69,52
69,53
69,54
69,118
69,61
69,62
69,63
69,64
69,65
69,66
69,67
69,68
69,69
69,70
69,71
69,72
69,141
69,142
69,73
69,74
69,75
69,76
69,143
69,144
69,145
69,146
69,147
69,148
69,149
69,150
69,151
69,152
69,153
69,154
69,155
69,156
69,55
69,139
69,140
69,9
69,81
69,157
69,154
70,47
70,48
70,49
70,50
70,51
70,52
70,53
70,54
70,141
70,142
70,157
70,55
70,139
70,140
70,9
70,73
70,11
70,81
70,14
70,15
71,55
71,9
71,140
71,47
71,141
71,142
71,73
71,11
71,48
71,49
71,81
71,118
71,14
71,15
71,51
71,157
71,53
71,54
72,9
72,140
72,141
72,142
72,73
72,11
72,48
72,139
72,49
72,81
72,14
72,15
72,51
73,47
73,48
73,49
73,50
73,51
73,52
73,53
73,54
73,131
73,132
73,133
73,134
73,135
73,136
73,137
73,138
73,118
73,101
73,17
73,157
73,125
73,126
74,129
76,47
76,48
76,49
76,50
76,51
76,52
76,53
76,54
76,118
76,141
76,142
76,55
76,139
76,140
76,9
76,73
76,11
76,81
76,14
76,15
76,157
77,61
77,62
77,63
77,64
77,65
77,66
77,67
77,68
77,69
77,70
77,71
77,72
77,73
77,75
77,76
77,118
78,129
79,47
79,48
79,49
79,50
79,51
79,52
79,53
79,54
79,141
79,142
79,55
79,139
79,140
79,140
79,137
79,60
79,112
79,73
79,11
79,81
79,135
79,118
79,14
79,15
79,134
79,101
79,51
79,17
79,157
79,158
79,132
79,127
79,125
79,126
80,129
81,118
81,61
81,62
81,63
81,64
81,65
81,66
81,67
81,68
81,69
81,70
81,71
81,72
81,73
81,75
81,76
83,118
83,61
83,62
83,63
83,64
83,65
83,66
83,67
83,68
83,69
83,70
83,71
83,72
83,73
83,74
83,75
83,76
83,143
83,144
83,145
83,146
83,147
83,148
84,61
84,62
84,63
84,64
84,65
84,66
84,67
84,68
84,69
84,70
84,71
84,72
84,73
84,74
84,75
84,76
84,143
84,144
84,145
84,146
84,147
84,148
84,149
84,150
84,151
84,152
84,153
84,154
84,155
84,156
84,118
85,48
85,139
85,14
85,51
85,125
85,126
86,58
86,60
87,47
87,53
87,125
87,126
88,58
88,60
89,61
89,62
89,63
89,64
89,65
89,66
89,67
89,68
89,69
89,70
89,71
89,72
89,55
89,149
89,9
89,140
89,47
89,141
89,150
89,142
89,151
89,73
89,74
89,11
89,48
89,152
89,143
89,75
89,144
89,153
89,76
89,145
89,139
89,49
89,81
89,118
89,14
89,15
89,148
89,156
89,51
89,157
89,154
89,147
89,155
89,53
89,54
90,60
91,61
91,62
91,63
91,64
91,65
91,66
91,67
91,68
91,69
91,70
91,71
91,72
91,149
91,150
91,151
91,73
91,74
91,152
91,143
91,75
91,144
91,153
91,76
91,145
91,146
91,118
91,148
91,156
91,154
91,147
91,155
92,55
92,9
92,140
92,47
92,141
92,142
92,11
92,48
92,139
92,49
92,81
92,118
92,14
92,15
92,51
92,157
92,53
92,54
98,55
98,9
98,140
98,47
98,141
98,142
98,11
98,48
98,139
98,49
98,81
98,118
98,14
98,15
98,51
98,157
98,53
98,54
100,55
100,9
100,140
100,47
100,141
100,142
100,60
100,73
100,11
100,48
100,139
100,49
100,81
100,118
100,14
100,15
100,51
100,157
100,53
100,54
103,55
103,9
103,140
103,47
103,141
103,142
103,11
103,48
103,139
103,49
103,81
103,118
103,14
103,15
103,51
103,157
103,53
103,54
104,61
104,62
104,63
104,64
104,65
104,66
104,67
104,68
104,69
104,70
104,71
104,72
104,73
104,74
104,75
104,76
104,143
104,144
104,145
104,146
104,147
104,148
104,118
106,61
106,62
106,63
106,64
106,65
106,66
106,67
106,68
106,69
106,70
106,71
106,72
106,73
106,74
106,75
106,76
106,143
106,144
106,145
106,146
106,147
106,148
106,76
106,118
106,66
106,67
110,47
110,48
110,49
110,50
110,51
110,52
110,53
110,54
110,61
110,62
110,63
110,64
110,65
110,66
110,67
110,68
110,69
110,70
110,71
110,72
110,73
110,74
110,75
110,76
110,143
110,144
110,145
110,146
110,147
110,148
111,61
111,62
111,63
111,64
111,65
111,66
111,67
111,68
111,69
111,70
111,71
111,72
111,73
111,74
111,75
111,76
111,143
111,144
111,145
111,146
111,147
111,148
112,130
113,129
115,73
115,75
115,76
115,118
115,72
121,47
121,48
121,49
121,50
121,51
121,52
121,53
121,54
121,141
121,142
121,55
121,139
121,140
121,9
121,73
121,11
121,81
121,118
121,14
121,15
121,157
120,118
120,61
120,62
120,63
120,64
120,65
120,66
120,67
120,68
120,69
120,70
120,71
120,72
120,73
120,75
120,76
119,47
119,48
119,49
119,50
119,51
119,52
119,53
119,54
119,61
119,62
119,63
119,64
119,65
119,66
119,67
119,68
119,69
119,70
119,71
119,72
119,96
119,97
119,98
119,99
119,100
119,101
119,102
119,103
119,104
119,105
119,106
119,107
119,108
119,109
119,1
119,2
119,3
119,4
119,5
119,6
119,157
119,57
119,111
119,114
117,47
117,48
117,49
117,50
117,51
117,52
117,53
117,54
117,58
117,60
117,57
117,112
117,135
117,118
117,134
117,133
117,101
117,17
117,157
117,131
117,132
117,125
117,126
117,149
117,75
117,118
116,162
115,118
115,61
115,62
115,63
115,64
115,65
115,66
115,67
115,68
115,69
115,70
115,71
115,72
115,149
115,73
115,75
115,76
112,162
113,130
109,129
108,118
108,61
108,62
108,63
108,64
108,65
108,66
108,67
108,68
108,69
108,70
108,71
108,72
108,73
108,75
108,76
107,47
107,48
107,49
107,50
107,51
107,52
107,53
107,54
107,141
107,142
107,55
107,139
107,140
107,129
107,9
107,57
107,73
107,11
107,81
107,118
107,14
107,15
107,157
105,47
105,48
105,49
105,50
105,51
105,52
105,53
105,54
105,118
105,141
105,142
105,55
105,139
105,140
105,9
105,73
105,11
105,81
105,14
105,15
105,157
105,163
103,127
101,118
101,61
101,62
101,63
101,64
101,65
101,66
101,67
101,68
101,69
101,70
101,71
101,72
101,149
99,127
98,129
98,163
92,129
96,47
96,48
96,49
96,50
96,51
96,52
96,53
96,54
96,118
96,61
96,62
96,63
96,64
96,65
96,66
96,67
96,68
96,69
96,70
96,71
96,72
96,73
96,74
96,75
96,76
96,143
96,144
96,145
96,146
96,147
96,148
96,149
96,150
96,151
96,152
96,153
96,154
96,155
96,156
96,9
96,141
96,142
96,11
96,48
96,139
96,15
96,157
95,9
95,47
95,48
95,118
95,51
95,54
93,118
93,61
93,62
93,63
93,64
93,65
93,66
93,67
93,68
93,69
93,70
93,71
93,72
93,73
84,47
84,48
84,49
84,50
84,51
84,52
84,53
84,54
84,141
84,142
84,55
84,139
84,140
84,9
84,73
84,11
84,81
84,14
84,15
84,157
87,142
82,47
82,48
82,49
82,50
82,51
82,52
82,53
82,54
82,118
82,61
82,62
82,63
82,64
82,65
82,66
82,67
82,68
82,69
82,70
82,71
82,72
82,141
82,142
82,149
82,150
82,151
82,152
82,153
82,154
82,155
82,156
82,55
82,9
82,140
82,57
82,112
82,73
82,74
82,11
82,75
82,76
82,139
82,81
82,14
82,15
82,51
82,157
18,149
97,127
